,año,tipo institucion,institucion,area,carrera,modalidad,jornada,cantidad
0,2016,Centros de Formación Técnica,CFT ALPES,Humanidades y Artes,FOTOGRAFIA ESPECIALIDADES FOTOGRAFIA PUBLICITARIA Y FOTOGRAFIA PERIODISTICA,Presencial,Diurno,1
1,2016,Centros de Formación Técnica,CFT ANDRES BELLO,Educación,TECNICO DE NIVEL SUPERIOR EN EDUCACION PARVULARIA Y PRIMER CICLO BASICO,Presencial,Vespertino,1
2,2016,Centros de Formación Técnica,CFT ANDRES BELLO,Salud y Servicios Sociales,TECNICO EN TRABAJO SOCIAL,Presencial,Diurno,1
3,2016,Centros de Formación Técnica,CFT ANDRES BELLO,Servicios,PREVENCION DE RIESGOS,Presencial,Diurno,1
4,2016,Centros de Formación Técnica,CFT BARROS ARANA,Servicios,TECNICO DE NIVEL SUPERIOR EN GESTION DE SEGURIDAD PRIVADA,No Presencial,A Distancia,26
5,2016,Centros de Formación Técnica,CFT CEDUC - UCN,"Ingeniería, Industria y Construcción",MAQUINARIA PESADA,Presencial,Diurno,1
6,2016,Centros de Formación Técnica,CFT CEDUC - UCN,"Ingeniería, Industria y Construcción",MECANICA DE EQUIPO PESADO,Presencial,Vespertino,1
7,2016,Centros de Formación Técnica,CFT CENCO,"Ciencias Sociales, Enseñanza Comercial y Derecho",TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION MENCION GESTION Y CONTROL MUNICIPAL,No Presencial,A Distancia,10
8,2016,Centros de Formación Técnica,CFT CENCO,Salud y Servicios Sociales,TECNICO DE NIVEL SUPERIOR EN ENFERMERIA,Presencial,Otro,2
9,2016,Centros de Formación Técnica,CFT DE TARAPACA,"Ciencias Sociales, Enseñanza Comercial y Derecho",TECNICO EN ADMINISTRACION DE EMPRESAS,Presencial,Vespertino,5
10,2016,Centros de Formación Técnica,CFT DE TARAPACA,Salud y Servicios Sociales,TECNICO DE NIVEL SUPERIOR EN TRABAJO SOCIAL,Presencial,Vespertino,1
11,2016,Centros de Formación Técnica,CFT DEL MEDIO AMBIENTE,"Ingeniería, Industria y Construcción",MINERIA Y GEOLOGIA SUSTENTABLE,Presencial,Vespertino,1
12,2016,Centros de Formación Técnica,CFT DEL MEDIO AMBIENTE,"Ingeniería, Industria y Construcción",PAISAJISMO SUSTENTABLE,Presencial,Vespertino,1
13,2016,Centros de Formación Técnica,CFT DEL MEDIO AMBIENTE,Servicios,ECOTURISMO,Presencial,Diurno,1
14,2016,Centros de Formación Técnica,CFT DEL MEDIO AMBIENTE,Servicios,MEDIO AMBIENTE,Presencial,Vespertino,5
15,2016,Centros de Formación Técnica,CFT DEL MEDIO AMBIENTE,Servicios,PREVENCION DE RIESGOS Y MEDIO AMBIENTE,Presencial,Vespertino,5
16,2016,Centros de Formación Técnica,CFT DEL MEDIO AMBIENTE,Servicios,TECNICO EN MANEJO DE AREAS SILVESTRES PROTEGIDAS,Semipresencial,Semipresencial,1
17,2016,Centros de Formación Técnica,CFT DUOC UC,Ciencias,ANALISTA PROGRAMADOR COMPUTACIONAL,Presencial,Diurno,1
18,2016,Centros de Formación Técnica,CFT ESCUELA CULINARIA FRANCESA,Servicios,DIPLOME SUPERIEUR ECOLE CULINAIRE FRANCAISE,Presencial,Diurno,45
19,2016,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,"Ciencias Sociales, Enseñanza Comercial y Derecho",ADMINISTRACION COMERCIAL,Presencial,Diurno,1
20,2016,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,"Ciencias Sociales, Enseñanza Comercial y Derecho",ADMINISTRACION COMERCIAL,Presencial,Vespertino,12
21,2016,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,"Ciencias Sociales, Enseñanza Comercial y Derecho",ADMINISTRACION EN COMERCIO EXTERIOR,Presencial,Diurno,3
22,2016,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,"Ciencias Sociales, Enseñanza Comercial y Derecho",ADMINISTRACION EN COMERCIO EXTERIOR,Presencial,Vespertino,8
23,2016,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,"Ciencias Sociales, Enseñanza Comercial y Derecho",ADMINISTRACION EN RECURSOS HUMANOS,Presencial,Vespertino,3
24,2016,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,"Ciencias Sociales, Enseñanza Comercial y Derecho",CONTABILIDAD GENERAL,Presencial,Diurno,2
25,2016,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,"Ciencias Sociales, Enseñanza Comercial y Derecho",CONTABILIDAD GENERAL,Presencial,Vespertino,2
26,2016,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,"Ciencias Sociales, Enseñanza Comercial y Derecho",FINANZAS,Presencial,Diurno,2
27,2016,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,"Ciencias Sociales, Enseñanza Comercial y Derecho",FINANZAS,Presencial,Vespertino,5
28,2016,Centros de Formación Técnica,CFT ESCUELA DE COMERCIO,"Ciencias Sociales, Enseñanza Comercial y Derecho",LOGISTICA OPERATIVA,Presencial,Vespertino,12
